Date,S&P_Movement,GOLD,OIL,SILVER,PLATINUM,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Volume,S&P_Open,Next_S&P_Open,S&P_High,S&P_Low,S&P_Close,S&P_Volume,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Volume,DAX_Open,DAX_High,DAX_Low,DAX_Close,DAX_Volume,ASX_Open,ASX_High,ASX_Low,ASX_Close,ASX_Volume,HANGSENG_Open,HANGSENG_High,HANGSENG_Low,HANGSENG_Close,HANGSENG_Volume,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Volume,FOREX_AUS,FOREX_EUR,FOREX_NZ,FOREX_UK,FOREX_BR,FOREX_CAN,FOREX_CHINA,FOREX_DEN,FOREX_HK,FOREX_IND,FOREX_JAP,FOREX_KOR,FOREX_MAL,FOREX_MEX,FOREX_NOR,FOREX_SWE,FOREX_SOUTHAFR,FOREX_SINGA,FOREX_SRI,FOREX_SWI,FOREX_TAI,FOREX_THAI,FOREX_VEN
11/1/2001,1,1.85,-0.24,-0.04,-4,15.400025,24.960083,6.280029,56.100098,-112700000,-0.01001,24.319947,10.819946,-3.23999,24.319947,-35100000,-36.189453,61.379882,-49.950195,188.760743,11280000,29.859863,11.160156,23.82959,77,-24960400,-0.800049,10.299804,-13,-8.900147,0,85.09961,97.90918,161.549801,84.87988,-19461200,0.850002,0.98,-0.27,-1.25,0,0.0056,0.0051,0.0017,0.0086,-0.016,0.0008,1.00E-04,-0.048,1.00E-04,0.01,-0.67,0,0,0.016,-0.084,-0.091,0.0975,0.0054,0.2,-0.0052,0,0.03,-0.0003
11/2/2001,1,-0.7,-0.76,0,0,35.849975,13,42.619995,-0.570069,-141050000,24.319947,3.099975,4.02002,21.269897,3.099975,-195500000,177.069336,59.370118,195.19043,59.639648,-33500000,84.649902,21.290039,87.090332,-52.819824,5243600,0,0,0,0,0,127.17969,144.32031,-9.45019,27.20996,47706400,-1.52,-1.900002,-1.540001,-1.600002,0,-0.0009,-0.0007,0.0007,-0.0005,-0.01,0.0012,0,0.0086,-0.0002,-0.01,-0.19,0,0,-0.0095,0.003,-0.0042,0.011,-0.0038,0,0.002,0,-0.02,-0.0007
11/5/2001,1,-1.65,0.15,-0.09,0,26.920044,41.900025,41.680054,47.920044,90390000,3.099975,15.640015,17.089966,11.619995,15.640015,145800000,62.070313,132.629882,116.519531,117.490234,-12280000,-52.669922,96.639648,20.049804,171.799804,-1963700,-23,16.700196,-6.5,45.200196,0,-35.7998,100.90039,67.87012,244.66016,-6668200,-1.310002,-1.459999,-0.229999,-0.209999,0,-1.00E-04,-0.0074,1.00E-04,-0.0045,-0.08,0.0033,-1.00E-04,0.0634,0,-0.02,0.04,0,0,-0.048,0.026,0.0232,-0.056,-0.0031,0.1,0.0108,0,-0.05,0.0007
11/6/2001,0,0.7,-0.14,-0.01,1,18.630005,33.939941,9.619995,41.429932,211260000,15.640015,16.020019,13.010009,8.160034,16.020019,88300000,110.5,124.149414,60.339844,150.089844,49640000,178.919922,64.790039,118.959961,-47.459961,7019300,59.300049,4.399902,26.800049,-32.5,0,325.87011,121.93946,137.5498,-74.66992,21291000,-0.5,-0.019998,-1.510001,-1.700001,0,0.0055,0.0012,0.0051,0.0021,-0.001,-0.002,-1.00E-04,-0.007,0,0.02,-0.57,-1,0,-0.0139,0.007,-0.041,-0.027,-0.0039,0.1,-0.0023,0,-0.02,0
11/7/2001,1,1.35,0.22,0.02,-6,34.119995,32.820069,42.369995,2.450073,120300000,16.020019,-3.059936,6.890015,17.619995,-3.059936,55300000,147.589844,43.520508,135.90039,-36.75,-26940000,-52.459961,42.950196,-31.399902,153.010254,8757500,-32.5,0.699951,-2.900147,16.799804,0,-108.92969,-102.0293,-86.5498,-86.25977,-8589200,-1.229999,-1.65,-0.609998,0.33,0,0.0021,0.0024,-1.00E-04,0.0059,0.006,-0.0003,-1.00E-04,-0.02,-1.00E-04,0,-0.1,-3,0,-0.0036,-0.0245,-0.0895,0.0845,-0.0041,0.05,-0.0072,0,-0.02,0
11/8/2001,1,-0.35,0.68,0,-1,34.640015,20.079956,-3.71997,-9.760009,234910000,-3.059936,2.73999,9.130005,2.440064,2.73999,106200000,-26.29004,77.629883,35.979492,33.149414,22600000,136.229981,143.100097,157.339844,132.909668,20980600,16.799804,-2.199951,19.699951,16.600098,0,-123.28027,139.85938,64.35058,268.83008,156228400,-0.9,-0.660002,-0.680001,-0.509998,0,-0.0005,-0.0089,-0.001,-0.011,-0.045,0.0045,0,0.082,0,0.03,-1.07,-7,0,0.004,0.0415,0.0675,-0.0025,0.0035,0,0.0127,-0.05,-0.16,0.0003
11/9/2001,0,-2.8,1.18,-0.03,7,-30.950074,-50.01001,-7.27002,0.70996,-776360000,2.73999,1.77002,-12.72998,-4.290039,1.77002,-423700000,28.570313,-91.339844,-38.620117,20.480469,-81330000,139.430176,-15.140136,52.720215,-83.5,-33990100,0,0,0,0,0,220.5,122,184.80957,70.62988,-10195400,0.48,0.17,-0.09,-1.18,0,-0.0002,0.0025,0.0006,0.0034,-0.028,0.0043,0,-0.0208,0,-0.02,0.27,-2,0,0.014,-0.0385,0.0243,0.09,0.0056,-0.05,-0.0055,0,0,0.0002
11/12/2001,1,2.85,-1.24,0.02,13,1.52002,9.619995,-26.810059,11.650025,70110000,1.77002,-1.980103,-1.310059,-12.810059,-1.980103,-102200000,19.169922,-24.280273,-111.189453,-53.629883,21470000,-83.200196,-80.689942,-237.629883,-89.699707,16824500,36,17.399902,9.5,5.699951,0,101.61035,-17.00977,75.34961,-16.7998,-164046800,2.950001,2.890002,1.700001,1.909999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/13/2001,1,-3.5,0.99,0.01,-11,45.219971,45.920044,84.79004,51.97998,594530000,-1.980103,20.76001,17.430054,20.01001,20.76001,378500000,-54.700195,149.65039,142.84961,196.580078,48090000,-82.060058,59.909668,173.139648,126.600098,2087600,-13.699951,40.300049,12.800049,45.100098,0,-81.48047,14.07031,-79,70.38964,-24121600,-3.99,-3.920001,-2.700001,-2.880001,0,0.0054,-0.0124,0.003,-0.0149,-0.013,-0.0041,-1.00E-04,0.1138,1.00E-04,0.06,1.2,5,0,0.02,0.0935,0.0637,0.063,0.0035,0,0.0268,0,-0.05,-0.0009
11/14/2001,1,1.75,-1.69,0.02,3,38.97998,28.529907,8,11.079956,-13410000,20.76001,2.119995,9.140014,14.540039,2.119995,73300000,199.700195,103.59961,189.980468,72.660157,53460000,125.190429,77.160156,118.010254,6.55957,25331800,45.100098,4.900147,40.800049,7.899902,0,245.12012,241.12988,319.69043,287.2002,165531800,-1.680001,-0.979999,-0.08,0.09,0,-0.0013,0.0018,-0.0022,0.0004,0.024,-0.0059,0.0002,-0.023,0.0003,0,0.22,-4,0,-0.014,-0.027,-0.033,-0.0255,-0.0009,0,-0.0027,-0.02,0.06,0.0014
