Date,Movement,Open,High,Low,Close,Volume,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,trend_macd,trend_macd_signal,trend_macd_diff,momentum_rsi
952318800,0,1409.170044,1409.73999,1384.75,1391.280029,1029000000,1441.602436,1325.512567,1383.557501,0,0,-6.866208131,-11.42915355,4.562945415,55.65781032
952405200,1,1391.280029,1399.209961,1349.98999,1355.619995,1314100000,1436.122315,1324.130688,1380.126501,0,0,-8.185911821,-10.78047695,2.594565126,40.86015924
952491600,1,1355.619995,1373.790039,1346.619995,1366.699951,1203000000,1424.495721,1328.25528,1376.3755,0,0,-8.265516639,-10.27746736,2.011950719,46.00664927
952578000,0,1366.699951,1401.819946,1357.880005,1401.689941,1123000000,1422.63518,1329.113819,1375.874499,0,0,-5.511494474,-9.324246209,3.812751736,59.00562071
952664400,0,1401.689941,1413.459961,1392.069946,1395.069946,1138800000,1418.444516,1331.128481,1374.786499,0,0,-3.807533488,-8.220879059,4.413345571,56.05931217
952920000,0,1395.069946,1398.390015,1364.839966,1383.619995,1016100000,1418.089043,1331.133955,1374.611499,0,0,-3.323355287,-7.24135683,3.918001542,50.97921671
953006400,1,1383.619995,1395.150024,1359.150024,1359.150024,1094000000,1416.444575,1329.699431,1373.072003,0,0,-4.819564191,-6.756991389,1.937427198,41.66803396
953092800,1,1359.150024,1397.98999,1356.98999,1392.140015,1302800000,1414.765441,1330.387562,1372.576501,0,0,-3.352891164,-6.07616357,2.723272406,54.57451654
953179200,1,1392.150024,1458.469971,1392.150024,1458.469971,1482300000,1432.970509,1319.262487,1376.116498,1,0,3.0357284,-4.25376853,7.289496929,69.98262707
953265600,0,1458.469971,1477.329956,1453.319946,1464.469971,1295100000,1449.090831,1310.763161,1379.926996,1,0,8.476245971,-1.707747024,10.183993,71.0089938
953524800,1,1464.469971,1470.300049,1448.48999,1456.630005,920800000,1460.637596,1310.2704,1385.453998,0,0,12.02466575,1.038751587,10.98591417,67.52783721
953611200,1,1456.630005,1493.920044,1446.060059,1493.869995,1065900000,1480.189001,1304.88899,1392.538995,1,0,17.59754372,4.350525501,13.24701821,74.40499142
953697600,1,1493.869995,1505.079956,1487.329956,1500.640015,1075000000,1498.14167,1300.931328,1399.536499,1,0,22.29531314,7.939496457,14.35581668,75.49368068
953784000,1,1500.640015,1532.5,1492.390015,1527.349976,1078300000,1519.570981,1296.894009,1408.232495,1,0,27.82680599,11.91697027,15.90983572,79.46913766
953870400,0,1527.349976,1552.869995,1516.829956,1527.459961,1052200000,1535.462661,1300.412327,1417.937494,0,0,31.8509359,15.90377294,15.94716296,79.48494977
954129600,0,1527.459961,1534.630005,1518.459961,1523.859985,901000000,1548.467701,1304.988281,1426.727991,0,0,34.35540757,19.59410694,14.76130064,77.23833086
954216000,1,1523.859985,1527.359985,1507.089966,1507.72998,959100000,1557.187162,1310.399813,1433.793487,0,0,34.65033353,22.60535687,12.04497666,67.39078872
954302400,0,1507.72998,1521.449951,1497.449951,1508.52002,1061900000,1565.151261,1315.368722,1440.259991,0,0,34.54844617,24.99397766,9.554468515,67.62406991
954388800,1,1508.52002,1517.380005,1474.630005,1487.920044,1193400000,1569.005959,1322.130028,1445.567993,0,0,32.44404349,26.48399229,5.960051202,55.64708795
954475200,1,1487.920044,1519.810059,1484.380005,1498.579956,1227400000,1574.398894,1325.678083,1450.038489,0,0,31.26946602,27.44108778,3.828378234,59.88884747
954734400,0,1498.579956,1507.189941,1486.959961,1505.969971,1021700000,1579.299467,1332.246505,1455.772986,0,0,30.57810603,28.06849183,2.5096142,62.73930432
954820800,0,1505.97998,1526.449951,1416.410034,1494.72998,1515460000,1577.893087,1347.563884,1462.728485,0,0,28.79663404,28.21412034,0.582513695,55.7824136
954907200,1,1494.72998,1506.550049,1478.050049,1487.369995,1110300000,1575.044993,1362.478981,1468.761987,0,0,26.48880742,27.86905762,-1.380250195,51.47029212
954993600,1,1487.369995,1511.76001,1487.369995,1501.339966,1008000000,1576.057246,1371.431731,1473.744489,0,0,25.4871325,27.39267244,-1.90553994,58.49683063
955080000,0,1501.339966,1518.680054,1501.339966,1516.349976,891600000,1576.721504,1382.895476,1479.80849,0,0,25.60315646,27.03476915,-1.431612694,64.81294589
955339200,0,1516.349976,1527.189941,1503.349976,1504.459961,853700000,1571.981333,1399.719643,1485.850488,0,0,24.45792682,26.51940058,-2.061473764,56.89852536
955425600,0,1504.459961,1512.800049,1486.780029,1500.589966,971400000,1555.164734,1430.680236,1492.922485,0,0,22.97439986,25.81040032,-2.836000462,54.4035816
955512000,0,1500.589966,1509.079956,1466.150024,1467.170044,1175900000,1539.289946,1454.058027,1496.673987,0,0,18.89468843,24.42725776,-5.532569326,37.86122585
955598400,0,1467.170044,1477.52002,1439.339966,1440.51001,1032000000,1542.354248,1449.19773,1495.775989,0,1,13.36406356,22.21461869,-8.850555131,29.58183853
955684800,1,1440.51001,1440.51001,1339.400024,1356.560059,1279700000,1567.327595,1413.433391,1490.380493,0,1,2.20450487,18.21259559,-16.00809072,16.4844343
955944000,1,1356.560059,1401.530029,1346.5,1401.439941,1204700000,1573.144883,1402.097097,1487.62099,0,1,-2.994534453,13.97116929,-16.96570375,34.40040662
956030400,0,1401.439941,1441.609985,1397.810059,1441.609985,1109400000,1572.888895,1397.127084,1485.00799,0,0,-3.838379702,10.4092593,-14.247639,46.29806283
956116800,1,1441.609985,1447.689941,1424.26001,1427.469971,1001400000,1572.520899,1390.178075,1481.349487,0,0,-5.580684291,7.211270445,-12.79195474,43.12155371
