Date,Open,High,Low,Close,Volume
11/30/2000,3271.899902,3291.600098,3254.800049,3284.100098,0
12/3/2000,3282.300049,3287,3278,3281.699951,0
12/4/2000,3282.899902,3325.199951,3282.399902,3306.5,0
12/5/2000,3310.100098,3348.800049,3308.100098,3308.100098,0
12/6/2000,3306,3321.699951,3286,3309,0
12/7/2000,3308.600098,3308.600098,3279,3287.600098,0
12/10/2000,3286,3321,3286,3312.399902,0
12/11/2000,3312.800049,3321,3305.199951,3313.199951,0
12/12/2000,3312.600098,3312.699951,3295.600098,3297.5,0
12/13/2000,3294.300049,3294.399902,3267.899902,3277,0
12/14/2000,3271.5,3271.600098,3222.399902,3229.199951,0
12/17/2000,3224.800049,3239.699951,3219.399902,3236.600098,0
12/18/2000,3238.399902,3259.800049,3238.399902,3258.100098,0
12/19/2000,3255.5,3255.5,3225.399902,3245.199951,0
12/20/2000,3233.5,3234.699951,3171.699951,3185.800049,0
12/21/2000,3186.100098,3202.100098,3185.899902,3196,0
12/24/2000,null,null,null,null,null
12/25/2000,null,null,null,null,null
12/26/2000,3197,3229.199951,3195.5,3228.600098,0
12/27/2000,3229.699951,3238,3219.300049,3236.199951,0
12/28/2000,3237,3279.800049,3206.199951,3206.199951,0
12/31/2000,null,null,null,null,null
1/1/2001,3210.399902,3261.100098,3210.399902,3261.100098,0
1/2/2001,3260.399902,3260.399902,3225,3235.699951,0
1/3/2001,3242.399902,3294.600098,3242.300049,3293.800049,0
1/4/2001,3293.899902,3308.5,3283.699951,3300.399902,0
1/7/2001,3293.600098,3294.699951,3254.600098,3264.300049,0
1/8/2001,3262.600098,3264.600098,3238.199951,3244.899902,0
1/9/2001,3245,3247,3228.199951,3239.199951,0
1/10/2001,3237.699951,3238.5,3222.699951,3225.600098,0
1/11/2001,3227.5,3251.100098,3226.5,3243.199951,0
1/14/2001,3243,3255,3240.199951,3250.899902,0
1/15/2001,3250.300049,3250.300049,3239.199951,3239.399902,0
1/16/2001,3240.100098,3253.699951,3232.800049,3253.699951,0
1/17/2001,3254.100098,3302.699951,3253.300049,3289.899902,0
1/18/2001,3293.5,3318.600098,3293.5,3311.600098,0
1/21/2001,3312.300049,3325.899902,3306.399902,3319.699951,0
1/22/2001,3320,3320,3285.899902,3288.600098,0
1/23/2001,3288.5,3298.800049,3284.600098,3297.199951,0
1/24/2001,3298.800049,3327.300049,3298.800049,3321.399902,0
1/25/2001,null,null,null,null,null
1/28/2001,3321,3324.699951,3300.899902,3317.199951,0
1/29/2001,3317.300049,3340.399902,3317.100098,3334.899902,0
1/30/2001,3336.399902,3347.699951,3335.399902,3341.699951,0
1/31/2001,3342.300049,3364.300049,3331.5,3364.300049,0
2/1/2001,3362.699951,3362.699951,3348.600098,3355.300049,0
