Date,Open,High,Low,Close,Adj Close,Volume
2/3/2010,10428.12012,10436.51953,10356.03027,10404.33008,10404.33008,154300
2/4/2010,10434.51953,10438.41016,10279.57031,10355.98047,10355.98047,164500
2/5/2010,10162.33984,10166.29981,10036.33008,10057.08984,10057.08984,172000
2/8/2010,10007.46973,10063.53027,9942.049805,9951.820313,9951.820313,137400
2/9/2010,9876.610352,9956.790039,9867.389648,9932.900391,9932.900391,135000
2/10/2010,10024.25977,10049.87012,9963.990234,9963.990234,9963.990234,127000
2/12/2010,10085.34961,10099.45996,10014.5,10092.19043,10092.19043,136000
2/15/2010,10097.82031,10119.46973,10012.53027,10013.29981,10013.29981,97300
2/16/2010,10044.53027,10062.26953,10019.42969,10034.25,10034.25,87000
2/17/2010,10161.71973,10306.83008,10150.24023,10306.83008,10306.83008,127100
2/18/2010,10324.98047,10340.37988,10285.04981,10335.69043,10335.69043,111800
2/19/2010,10334.40039,10354.41992,10123.58008,10123.58008,10123.58008,129500
2/22/2010,10302.07031,10449.75,10298.15039,10400.46973,10400.46973,115400
2/23/2010,10327.63965,10375.54981,10280.33008,10352.09961,10352.09961,121500
2/24/2010,10205.15039,10243.2002,10129.65039,10198.83008,10198.83008,125200
2/25/2010,10256.09961,10267.42969,10087.20996,10101.95996,10101.95996,128200
2/26/2010,10107.08008,10171.21973,10085.12988,10126.03027,10126.03027,113200
3/1/2010,10128.73047,10215.15039,10116.86035,10172.05957,10172.05957,108400
3/2/2010,10199.19043,10238.95996,10150.29981,10221.83984,10221.83984,104000
3/3/2010,10193.9502,10274.08984,10186.67969,10253.13965,10253.13965,120600
3/4/2010,10255.69043,10263.48047,10134.37012,10145.71973,10145.71973,126300
3/5/2010,10254.61035,10376.41016,10254.61035,10368.95996,10368.95996,129900
3/8/2010,10538.12012,10586.96973,10514.28027,10585.91992,10585.91992,140500
3/9/2010,10567.32031,10593.26953,10542.80957,10567.65039,10567.65039,110100
3/10/2010,10555.84961,10588.69043,10547.33984,10563.91992,10563.91992,104800
3/11/2010,10627.99023,10664.9502,10588.86035,10664.9502,10664.9502,123800
3/12/2010,10777.49023,10777.49023,10699.29981,10751.25977,10751.25977,206600
3/15/2010,10802.11035,10808.83984,10708.96973,10751.98047,10751.98047,130700
