Date,Movement,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dch,volatility_dcl,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,others_dr,others_dlr,others_cr
949381200,0,1394.459961,1412.48999,1384.790039,1409.280029,981000000,1746539638,-102800000,-0.002295809,-5638975426,-1.52E-07,35487108.63,972.7651327,27.73208023,1479.903493,1366.673521,1423.288507,0,0,1412.656673,1443.93066,1381.382686,0,0,1465.150024,1360.160034,0,0,-8.138314788,-4.514625765,-3.623689023,1410.164085,1418.3024,0,20,20,0.871882813,1.119185484,0.24730267,-0.053245684,19.88620603,-58.97858751,41.86151695,-61.63667156,-59.35462851,-2.282043056,1410.997498,1414.070008,1529.667602,1518.369925,40,76,-36,47.73360868,41.60518399,-47.77941203,49.42474073,48.13610713,29.20004262,-51.86389287,-35.2764313,1.062781895,1.057174066,-3.15690706
949467600,1,1409.280029,1420.609985,1403.48999,1409.119995,1038600000,398135720.6,-1141400000,0.024778386,656769523.2,-1.23E-07,10307949.81,972.7651327,26.97407414,1479.689433,1367.857576,1423.773505,0,0,1408.231669,1439.946659,1376.516679,0,0,1465.150024,1360.160034,0,0,-7.469630107,-5.110019866,-2.359610241,1409.999279,1417.468909,0,20,20,0.939354255,1.056532485,0.11717823,-0.063671757,20.88753047,-33.05647759,31.3665104,-60.42680556,-59.45442614,-0.972379418,1408.092499,1414.070008,1529.667602,1518.369925,40,76,-36,47.6650795,41.47359506,-46.13665992,54.78308645,48.00584991,44.07183239,-51.99415009,-33.55696037,-0.011355728,-0.011356372,-3.167904298
949554000,0,1409.119995,1425.780029,1398.52002,1424.969971,1146500000,722859951.3,5100000,0.055845663,2596685401,-1.35E-07,12778049.5,972.7651327,26.99449806,1479.89459,1369.938418,1424.916504,0,0,1404.880005,1436.604004,1373.156006,0,0,1465.150024,1360.160034,0,0,-5.78566471,-5.245951232,-0.539713478,1412.352938,1418.138602,0,20,20,0.914453834,1.072078767,0.157624932,-0.068254302,21.87431399,-21.8262567,30.9835201,-57.63528888,-59.51354341,1.878254525,1408.092499,1414.070008,1529.667602,1518.369925,40,76,-36,55.04123207,41.83782339,-44.13200566,56.57518045,60.90669472,52.34955059,-39.09330528,-29.56986887,1.124813788,1.118534799,-2.078723533
949640400,0,1424.969971,1435.910034,1420.630005,1424.369995,1045100000,544865453.5,-1040000000,0.023843189,99125000,-1.46E-07,12455956.31,972.3555551,26.15775027,1480.009086,1371.915927,1425.962506,0,0,1403.105672,1434.999666,1371.211678,0,0,1465.150024,1360.160034,0,0,-4.450723066,-5.086150963,0.635427898,1414.235884,1418.686607,0,20,20,0.924789493,1.096025833,0.17123634,-0.068866567,22.78580626,4.908914675,19.6074399,-55.24459166,-59.12936014,3.88476848,1403.547516,1414.070008,1529.667602,1518.369925,40,76,-36,54.70447683,34.65044109,-42.37360078,55.46193944,64.22948402,57.71400955,-35.77051598,-19.56662201,-0.042104466,-0.042113333,-2.119952764
949899600,1,1424.369995,1427.150024,1413.329956,1424.23999,918100000,-2036759.617,-1958100000,-0.008413482,166727660.4,-1.52E-07,-523830.5363,972.2668064,25.27648725,1478.653829,1371.548185,1425.101007,0,0,1403.56167,1430.970678,1376.152661,0,0,1465.150024,1360.160034,0,0,-3.3693277,-4.741484197,1.372156496,1415.798977,1419.168305,0,20,20,0.901687908,1.098389527,0.196701619,-0.066793236,23.6398053,-10.19852474,16.25897795,-52.01695898,-58.26380231,6.246843326,1403.547516,1414.070008,1529.667602,1518.369925,40,76,-36,54.62092435,35.03222341,-40.8121624,57.35901912,64.1169937,63.08439082,-35.8830063,-9.82019788,-0.009127193,-0.00912761,-2.128886465
949986000,0,1424.23999,1441.829956,1424.23999,1441.719971,1047700000,1566057101,-910400000,0.019738021,45109937.6,-1.34E-07,12774833.96,972.2668064,24.72745002,1476.278549,1372.335464,1424.307007,0,0,1406.728666,1433.319669,1380.137663,0,0,1465.150024,1360.160034,0,0,-1.260646895,-4.043206321,2.782559426,1419.839315,1421.099962,0,20,20,0.937509421,1.050012939,0.112503518,-0.060326916,23.48044271,36.72577429,-22.7769778,-49.10561771,-57.20386546,8.098247753,1405.027496,1414.070008,1529.667602,1518.369925,36,72,-36,63.31387364,34.79134604,-38.84289511,68.35616277,79.24201678,69.19616483,-20.75798322,-3.285235715,1.227319913,1.219849404,-0.9276948
950072400,1,1441.719971,1444.550049,1411.650024,1411.709961,1050500000,-12074348.9,-1960900000,0.001908299,-1658975840,-1.40E-07,-9007970.377,972.2668064,25.31120538,1474.772722,1371.156282,1422.964502,0,0,1408.426335,1437.050346,1379.802323,0,0,1465.150024,1360.160034,0,0,-1.730128249,-3.57946946,1.849341211,1418.574744,1420.304872,0,20,20,0.932237961,1.053322349,0.121084388,-0.055667645,23.31334905,-1.236432176,-12.9344729,-48.21284357,-56.16081173,7.947968155,1404.45752,1414.070008,1458.179993,1458.179993,32,68,-36,45.89703809,34.95850796,-37.51523214,54.20376791,59.2303752,67.52979523,-40.7696248,-0.210996356,-2.081542228,-2.103511722,-2.989926669
950158800,0,1411.699951,1422.099976,1406.430054,1416.829956,1058800000,-700051732.5,-902100000,0.033322269,-276279166.5,-1.50E-07,-18026541.28,972.2668064,24.62254228,1473.878698,1370.508301,1422.1935,0,0,1410.324666,1435.72867,1384.920663,0,0,1465.150024,1360.160034,0,0,-1.709928128,-3.204836548,1.49490842,1418.303794,1420.013722,20,20,20,0.916850675,1.077910569,0.161059894,-0.051523463,23.21840239,-22.94631978,-18.1035337,-46.30842851,-54.68139308,8.372964576,1404.45752,1414.070008,1437.715027,1437.715027,28,64,-36,48.67636163,42.55603076,-36.17495888,51.91926603,64.15581764,67.54273654,-35.84418236,0.580037104,0.362680376,0.362024277,-2.63809017
950245200,1,1416.829956,1416.829956,1378.890015,1387.119995,1025700000,-234087034,-1927800000,-0.022181063,609831156.8,-1.12E-07,-17668171.89,951.8790324,25.57378504,1471.315726,1366.815267,1419.065497,0,0,1412.588664,1437.550651,1387.626677,0,0,1465.150024,1360.160034,0,0,-3.815970926,-3.327252853,-0.488718072,1413.468226,1417.284197,20,20,20,0.956291727,1.098521949,0.142230222,-0.052131309,23.36371478,-83.61899238,-20.50543775,-44.40747299,-52.7771866,8.369713616,1411.64502,1414.070008,1427.840027,1427.840027,24,60,-36,36.21881006,42.86617069,-35.41057014,50.21348227,39.1695442,54.18524568,-60.8304558,-4.593625414,-2.096932019,-2.119229904,-4.679703231
950504400,1,1387.119995,1394.930054,1380.530029,1389.939941,927300000,-296091571.1,-1000500000,-0.025655534,3536036972,-8.30E-08,-19623076.91,953.8141551,24.77565933,1464.315405,1366.294581,1415.304993,0,0,1413.465999,1435.433992,1391.498006,0,0,1455.900024,1360.160034,0,0,-5.210976407,-3.70446453,-1.506511877,1409.82422,1415.035197,20,20,20,0.978300087,1.052696033,0.074395946,-0.055296397,23.37090232,-96.14950442,-55.1449586,-42.42448629,-50.64249935,8.218013059,1411.64502,1414.070008,1427.840027,1427.840027,20,56,-36,37.95776619,42.25233017,-34.64642122,46.12063261,42.15645765,48.49393983,-57.84354235,-9.910162317,0.203295029,0.203088665,-4.485921806
