Date,Price
5/22/2002,543
5/23/2002,540
5/24/2002,543
5/27/2002,
5/28/2002,545
5/29/2002,549
5/30/2002,549
5/31/2002,551
6/3/2002,548
6/4/2002,554
6/5/2002,549
6/6/2002,555
6/7/2002,567
6/10/2002,557
6/11/2002,557
6/12/2002,559
6/13/2002,558
6/14/2002,560
6/17/2002,559
6/18/2002,563
6/19/2002,567
6/20/2002,568
6/21/2002,565
6/24/2002,563
6/25/2002,563
6/26/2002,550
6/27/2002,542
6/28/2002,548
7/1/2002,535
7/2/2002,533
7/3/2002,531
7/4/2002,525
7/5/2002,522
7/8/2002,527
7/9/2002,526
7/10/2002,526
7/11/2002,530
7/12/2002,533
7/15/2002,535
7/16/2002,533
7/17/2002,527
7/18/2002,528
7/19/2002,532
7/22/2002,528
7/23/2002,524
7/24/2002,522
7/25/2002,526
7/26/2002,533
7/29/2002,529
7/30/2002,530
7/31/2002,534
8/1/2002,526
8/2/2002,528
8/5/2002,528
8/6/2002,530
8/7/2002,533
8/8/2002,543
8/9/2002,546
8/12/2002,554
8/13/2002,552
8/14/2002,561
8/15/2002,559
8/16/2002,555
8/19/2002,555
8/20/2002,549
8/21/2002,546
8/22/2002,545
8/23/2002,544
8/26/2002,549
8/27/2002,558
8/28/2002,576
8/29/2002,564
8/30/2002,566
9/2/2002,565
9/3/2002,556
9/4/2002,545
9/5/2002,546
9/6/2002,548
9/9/2002,552
9/10/2002,552
9/11/2002,553
9/12/2002,554
9/13/2002,555
9/16/2002,557
9/17/2002,552
9/18/2002,557
9/19/2002,570
9/20/2002,568
9/23/2002,569
9/24/2002,577
9/25/2002,566
9/26/2002,565
9/27/2002,563
9/30/2002,566
10/1/2002,571
10/2/2002,570
10/3/2002,561
10/4/2002,560
10/7/2002,559
10/8/2002,566
10/9/2002,584
10/10/2002,582
10/11/2002,594
10/14/2002,593
10/15/2002,588
10/16/2002,594
10/17/2002,592
10/18/2002,594
10/21/2002,590
10/22/2002,584
10/23/2002,585
10/24/2002,584
10/25/2002,592
10/28/2002,593
10/29/2002,596
10/30/2002,592
10/31/2002,581
11/1/2002,580
11/4/2002,583
11/5/2002,587
11/6/2002,588
11/7/2002,588
11/8/2002,591
11/11/2002,579
11/12/2002,582
11/13/2002,594
11/14/2002,593
11/15/2002,603
11/18/2002,601
11/19/2002,597
11/20/2002,595
11/21/2002,595
11/22/2002,594
11/25/2002,591
11/26/2002,590
11/27/2002,588
11/28/2002,587
11/29/2002,595
12/2/2002,595
12/3/2002,593
12/4/2002,594
12/5/2002,595
12/6/2002,599
12/9/2002,603
12/10/2002,602
12/11/2002,596
12/12/2002,597
12/13/2002,605
12/16/2002,606
12/17/2002,610
12/18/2002,601
12/19/2002,601
12/20/2002,590
12/23/2002,593
12/24/2002,590
12/26/2002,593
12/27/2002,595
12/30/2002,600
12/31/2002,599
1/2/2003,612
1/3/2003,605
1/6/2003,609
1/7/2003,610
1/8/2003,611
1/9/2003,623
1/10/2003,623
1/13/2003,622
1/14/2003,624
1/15/2003,619
1/16/2003,622
1/17/2003,629
1/20/2003,635
1/21/2003,633
1/22/2003,647
1/23/2003,654
1/24/2003,646
1/27/2003,648
1/28/2003,646
1/29/2003,656
1/30/2003,671
1/31/2003,670
2/3/2003,702
2/4/2003,703
2/5/2003,690
2/6/2003,681
2/7/2003,690
2/10/2003,685
2/11/2003,680
2/12/2003,695
2/13/2003,691
2/14/2003,698
2/17/2003,691
2/18/2003,678
2/19/2003,675
2/20/2003,669
2/21/2003,669
2/24/2003,674
2/25/2003,683
2/26/2003,679
2/27/2003,685
2/28/2003,684
3/3/2003,684
3/4/2003,691
3/5/2003,697
3/6/2003,696
3/7/2003,696
3/10/2003,706
3/11/2003,704
3/12/2003,701
3/13/2003,695
3/14/2003,691
3/17/2003,698
3/18/2003,691
3/19/2003,682
3/20/2003,669
3/21/2003,664
3/24/2003,658
3/25/2003,646
3/26/2003,648
3/27/2003,638
3/28/2003,632
3/31/2003,645
4/1/2003,641
4/2/2003,638
4/3/2003,622
4/4/2003,617
4/7/2003,616
4/8/2003,618
4/9/2003,630
4/10/2003,626
4/11/2003,625
4/14/2003,624
4/15/2003,627
4/16/2003,624
4/17/2003,634
4/21/2003,640
4/22/2003,644
4/23/2003,641
4/24/2003,638
4/25/2003,633
4/28/2003,621
4/29/2003,609
4/30/2003,605
5/1/2003,608
5/2/2003,610
5/5/2003,608
5/6/2003,628
5/7/2003,638
5/8/2003,636
5/9/2003,645
5/12/2003,656
5/13/2003,663
5/14/2003,664
5/15/2003,666
5/16/2003,668
5/19/2003,658
5/20/2003,667
5/21/2003,678
5/22/2003,674
5/23/2003,671
5/26/2003,
5/27/2003,686
5/28/2003,671
5/29/2003,646
5/30/2003,645
6/2/2003,647
6/3/2003,654
6/4/2003,670
6/5/2003,666
6/6/2003,661
6/9/2003,661
6/10/2003,661
6/11/2003,650
6/12/2003,650
6/13/2003,664
6/16/2003,673
6/17/2003,667
6/18/2003,665
6/19/2003,676
6/20/2003,674
6/23/2003,669
6/24/2003,673
6/25/2003,669
6/26/2003,658
6/27/2003,666
6/30/2003,669
7/1/2003,674
7/2/2003,677
7/3/2003,676
7/4/2003,677
7/7/2003,674
7/8/2003,668
7/9/2003,669
7/10/2003,677
7/11/2003,678
7/14/2003,682
7/15/2003,693
7/16/2003,683
7/17/2003,686
7/18/2003,688
7/21/2003,686
7/22/2003,693
7/23/2003,695
7/24/2003,696
7/25/2003,693
7/28/2003,697
7/29/2003,700
7/30/2003,693
7/31/2003,688
8/1/2003,680
8/4/2003,680
8/5/2003,682
8/6/2003,684
8/7/2003,683
8/8/2003,682
8/11/2003,695
8/12/2003,699
8/13/2003,689
8/14/2003,696
8/15/2003,700
8/18/2003,698
8/19/2003,699
8/20/2003,703
8/21/2003,706
8/22/2003,701
8/25/2003,695
8/26/2003,694
8/27/2003,709
8/28/2003,711
8/29/2003,711
9/1/2003,712
9/2/2003,715
9/3/2003,714
9/4/2003,715
9/5/2003,715
9/8/2003,711
9/9/2003,717
9/10/2003,706
9/11/2003,700
9/12/2003,705
9/15/2003,705
9/16/2003,703
9/17/2003,698
9/18/2003,704
9/19/2003,702
9/22/2003,706
9/23/2003,710
9/24/2003,707
9/25/2003,718
9/26/2003,701
9/29/2003,705
9/30/2003,713
10/1/2003,715
10/2/2003,714
10/3/2003,728
10/6/2003,712
10/7/2003,724
10/8/2003,731
10/9/2003,730
10/10/2003,735
10/13/2003,727
10/14/2003,733
10/15/2003,730
10/16/2003,727
10/17/2003,730
10/20/2003,738
10/21/2003,736
10/22/2003,740
10/23/2003,747
10/24/2003,740
10/27/2003,748
10/28/2003,750
10/29/2003,757
10/30/2003,765
10/31/2003,756
11/3/2003,743
11/4/2003,748
11/5/2003,759
11/6/2003,759
11/7/2003,759
11/10/2003,762
11/11/2003,763
11/12/2003,763
11/13/2003,775
11/14/2003,773
11/17/2003,763
11/18/2003,769
11/19/2003,770
11/20/2003,770
11/21/2003,768
11/24/2003,759
11/25/2003,761
11/26/2003,767
11/27/2003,763
11/28/2003,768
12/1/2003,773
12/2/2003,779
12/3/2003,783
12/4/2003,795
12/5/2003,789
12/8/2003,803
12/9/2003,804
12/10/2003,814
12/11/2003,812
12/12/2003,826
12/15/2003,828
12/16/2003,830
12/17/2003,842
12/18/2003,836
12/19/2003,831
12/22/2003,798
12/23/2003,805
12/24/2003,822
12/29/2003,823
12/30/2003,816
12/31/2003,813
1/2/2004,817
1/5/2004,836
1/6/2004,849
1/7/2004,848
1/8/2004,855
1/9/2004,854
1/12/2004,856
1/13/2004,871
1/14/2004,857
1/15/2004,858
1/16/2004,853
1/19/2004,863
1/20/2004,863
1/21/2004,865
1/22/2004,867
1/23/2004,867
1/26/2004,862
1/27/2004,857
1/28/2004,859
1/29/2004,845
1/30/2004,841
2/2/2004,833
2/3/2004,835
2/4/2004,828
2/5/2004,825
2/6/2004,836
2/9/2004,840
2/10/2004,838
2/11/2004,842
2/12/2004,850
2/13/2004,855
2/16/2004,854
2/17/2004,862
2/18/2004,867
2/19/2004,858
2/20/2004,857
2/23/2004,845
2/24/2004,861
2/25/2004,863
2/26/2004,858
2/27/2004,882
3/1/2004,903
3/2/2004,883
3/3/2004,887
3/4/2004,885
3/5/2004,889
3/8/2004,897
3/9/2004,898
3/10/2004,915
3/11/2004,908
3/12/2004,913
3/15/2004,913
3/16/2004,905
3/17/2004,910
3/18/2004,901
3/19/2004,896
3/22/2004,900
3/23/2004,908
3/24/2004,920
3/25/2004,912
3/26/2004,912
3/29/2004,909
3/30/2004,893
3/31/2004,906
4/1/2004,914
4/2/2004,896
4/5/2004,896
4/6/2004,886
4/7/2004,879
4/8/2004,901
4/12/2004,940
4/13/2004,933
4/14/2004,933
4/15/2004,926
4/16/2004,921
4/19/2004,940
4/20/2004,927
4/21/2004,899
4/22/2004,850
4/23/2004,855
4/26/2004,825
4/27/2004,853
4/28/2004,805
4/29/2004,789
4/30/2004,803
5/3/2004,812
5/4/2004,827
5/5/2004,818
5/6/2004,802
5/7/2004,799
5/10/2004,771
5/11/2004,788
5/12/2004,799
5/13/2004,793
5/14/2004,797
5/17/2004,823
5/18/2004,805
5/19/2004,810
5/20/2004,809
5/21/2004,815
5/24/2004,821
5/25/2004,845
5/26/2004,840
5/27/2004,849
5/28/2004,836
5/31/2004,
6/1/2004,847
6/2/2004,844
6/3/2004,835
6/4/2004,832
6/7/2004,836
6/8/2004,841
6/9/2004,815
6/10/2004,801
6/11/2004,798
6/14/2004,797
6/15/2004,777
6/16/2004,780
6/17/2004,786
6/18/2004,810
6/21/2004,818
6/22/2004,807
6/23/2004,812
6/24/2004,813
6/25/2004,809
6/28/2004,795
6/29/2004,785
6/30/2004,797
7/1/2004,784
7/2/2004,779
7/5/2004,785
7/6/2004,782
7/7/2004,793
7/8/2004,811
7/9/2004,815
7/12/2004,824
7/13/2004,810
7/14/2004,821
7/15/2004,816
7/16/2004,827
7/19/2004,828
7/20/2004,834
7/21/2004,834
7/22/2004,831
7/23/2004,821
7/26/2004,818
7/27/2004,812
7/28/2004,804
7/29/2004,817
