Date,DJIA_Movement,NASDAQ,S&P500,Nikkei225,Hangseng,FTSE100,DAX,ASX,USD/EUR,USD/AUD,USD/JPY,SILVER,PLATINUM,OIL,GOLD
5/8/2000,1,-0.038629064,-0.005905196,-0.003277669,-0.024078088,-0.003606463,-0.016297028,-0.000321833,0.000335196,0.011073254,0.004607021,-0.021611002,-0.013592233,0.044123546,0.004528131
5/9/2000,0,-0.022992951,-0.008447045,-0.019528717,-0.008328274,-0.014880235,-0.017217637,-0.006470882,-0.008090436,0.007206589,0.005319637,0,0.013779528,0.025355359,-0.001502573
5/10/2000,0,-0.055865961,-0.020599916,-0.008017487,-0.019217865,-0.003772104,-0.021932463,-0.013836297,-0.00813455,0.002235597,-0.002554511,0.004016064,0,-0.003746722,0.001655318
5/11/2000,1,0.033931835,0.017902469,-0.046267893,0.021355963,0.023800499,0.019466767,-0.015443255,0.008424787,0.004317789,-0.007866093,-0.002,0,0.023693118,0.009389671
5/12/2000,1,0.008423862,0.009340679,0.028159309,0.020909421,0.006019965,0.001349932,0.012815428,-0.006497797,-0.003442341,0.002489168,-0.002004008,0.005825243,0.027920647,-0.007144186
5/15/2000,1,0.022269341,0.022097754,-0.002544665,-0.015262145,-0.005697431,-0.010197693,0.005371045,-0.006347122,0.012371493,0.006805223,0,-0.005791506,0.010007148,-0.01319192
5/16/2000,1,0.030468634,0.00941919,0.013720966,0.018747706,0.011316117,0.024448435,0.012487251,0.009389152,-0.005889486,0.002466204,0,-0.009708738,0.018400566,-0.003873761
5/17/2000,0,-0.019531604,-0.012441672,-0.008388046,-0.02193101,-0.019340293,-0.021645502,-0.004661369,0.014796547,0.015479332,-0.002004556,0.016064257,0.015686275,-0.013203614,0.001029395
5/18/2000,1,-0.02914984,-0.007314607,-0.021397254,-0.034071786,0.005939092,-0.004150267,-0.009724257,-0.003462914,-0.003156234,-0.007577833,-0.017786561,0.011583012,0.017605634,-0.002132846
5/19/2000,0,-0.04191077,-0.02105469,-0.010184635,0.01086815,-0.030097882,-0.026811689,-0.00190476,0.000670691,-0.004364525,-0.016651334,0.002012072,0.040076336,0.003806228,-0.002748092
5/22/2000,0,-0.007724735,-0.004428004,-0.028007794,-0.023312836,-0.001637593,-0.010884175,-0.012108864,-0.009960159,-0.002090592,0.001216204,-0.004016064,0.014678899,-0.019303688,0.006468157
5/23/2000,0,-0.059348232,-0.019175843,-0.004105899,0.008235022,0.008499678,0.002130778,0.00636174,0.00044287,-0.001218027,-0.002803214,0.002016129,-0.007233273,-0.011599297,-0.003688634
5/24/2000,1,0.033515052,0.018335248,-0.016808295,-0.022669225,0.005224468,-0.013396971,-0.003938539,-0.00703606,0.005951339,0.008058471,0,0.032786885,0.030227596,0.001832061
5/25/2000,0,-0.019953466,-0.012529951,0.012676034,-0.000927294,0.018386559,0.021066974,0.00285765,0.002645502,0.002280702,-0.000929541,-0.004024145,-0.012345679,0.022437004,0.001371533
5/26/2000,0,-7.49E-05,-0.002533441,-0.014751558,-0.01424887,-0.002278923,-0.005808969,-0.005765265,-0.02556391,-0.002799161,-0.002791217,-0.012121212,-0.016071429,0.015867657,-0.001559884
5/30/2000,1,0.079363849,0.032241862,0.013790531,0.019544272,0.022953594,0.026076835,0.016629502,-0.000429461,-0.009015256,-0.006904273,0.00408998,0.003629764,-0.006646726,0.004991807
5/31/2000,0,-0.01693031,-0.001300555,0.006380581,0.051673584,-3.15E-05,-0.001347028,0.00996522,-0.001500858,0.010511563,0.012213454,-0.00407332,0.003616637,-0.008364001,0.003450368
6/1/2000,1,0.05339456,0.019857865,0.022155315,0.015450064,0.017470217,0.022939158,0.00227199,0.002256367,-0.00227233,0.009281604,0.00204499,0.003603604,0.00168691,-0.009484224
6/2/2000,1,0.064446583,0.019636771,0.006335082,0.022950593,0.02409395,0.022851082,0.017130797,-0.013252757,-0.011917098,-0.005425786,0,0.008976661,-0.011451667,-0.002403296
