lbfgs,0.488650794
6year/2000_2006_Everything_old.csv,
sgd,0.527393617
6year/2006_2012_Everything_old.csv,
sgd,0.565957447
6year/2012_2018_Everything_old.csv,
sgd,0.563694881
6year/2018_2024_Everything_old.csv,
sgd,0.488636364
6year/2000_2006_Everything_old.csv,
adam,0.529794943
6year/2006_2012_Everything_old.csv,
adam,0.534042553
6year/2012_2018_Everything_old.csv,
adam,0.519191335
6year/2018_2024_Everything_old.csv,
adam,0.423636364
6year/2000_2006_Everything_old.csv,
lbfgs,0.495975948
6year/2006_2012_Everything_old.csv,
lbfgs,0.534042553
6year/2012_2018_Everything_old.csv,
lbfgs,0.521328631
6year/2018_2024_Everything_old.csv,
lbfgs,0.503787879
7year/2000_2007_Everything_old.csv,
sgd,0.483121784
7year/2007_2014_Everything_old.csv,
sgd,0.49983646
7year/2014_2021_Everything_old.csv,
sgd,0.562445887
7year/2000_2007_Everything_old.csv,
adam,0.48109777
7year/2007_2014_Everything_old.csv,
adam,0.472619048
7year/2014_2021_Everything_old.csv,
adam,0.530627706
7year/2000_2007_Everything_old.csv,
lbfgs,0.518010292
7year/2007_2014_Everything_old.csv,
lbfgs,0.454301347
7year/2014_2021_Everything_old.csv,
lbfgs,0.537337662
8year/2000_2008_Everything_old.csv,
sgd,0.490115669
8year/2008_2016_Everything_old.csv,
sgd,0.518253968
8year/2016_2024_Everything_old.csv,
sgd,0.4807973
8year/2000_2008_Everything_old.csv,
adam,0.474188932
8year/2008_2016_Everything_old.csv,
adam,0.521479775
8year/2016_2024_Everything_old.csv,
adam,0.480409597
8year/2000_2008_Everything_old.csv,
lbfgs,0.490319643
8year/2008_2016_Everything_old.csv,
lbfgs,0.524628776
8year/2016_2024_Everything_old.csv,
lbfgs,0.505938697
9year/2000_2009_Everything_old.csv,
sgd,0.509175609
9year/2009_2018_Everything_old.csv,
sgd,0.524104628
9year/2018_2027_Everything_old.csv,
sgd,0.488636364
9year/2000_2009_Everything_old.csv,
adam,0.500824391
9year/2009_2018_Everything_old.csv,
adam,0.556780684
9year/2018_2027_Everything_old.csv,
adam,0.423636364
9year/2000_2009_Everything_old.csv,
lbfgs,0.495030181
9year/2009_2018_Everything_old.csv,
lbfgs,0.54832998
9year/2018_2027_Everything_old.csv,
lbfgs,0.503787879
P_Everything_old.csv,
sgd,0.519783527
P_Everything_old.csv,
adam,0.521709856
P_Everything_old.csv,
lbfgs,0.524913833
